"","study","germplasmName","trait","predicted.value","std.error","status"
"1","Pr_Neo_21","07-20728","Grain.yield...bu.ac",73.8911429346753,3.93793256314644,"Estimable"
"2","Pr_Neo_21","07-20728","Heading.time...Julian.date..JD..CO_321.0001233",132.040465568286,1.02481378477382,"Estimable"
"3","Pr_Neo_21","07-20728","Grain.test.weight...lbs.bu",56.8934095490992,0.292983385111503,"Estimable"
"4","Pr_Neo_21","07-20728","Plant.height.inches",38.720202035946,1.73092466286045,"Estimable"
"5","Pr_Neo_21","07-4415","Grain.yield...bu.ac",89.2230370424204,3.92949498166631,"Estimable"
"6","Pr_Neo_21","07-4415","Heading.time...Julian.date..JD..CO_321.0001233",127.799783737328,1.02243799546523,"Estimable"
"7","Pr_Neo_21","07-4415","Grain.test.weight...lbs.bu",54.1605292892928,0.29199634047114,"Estimable"
"8","Pr_Neo_21","07-4415","Plant.height.inches",38.2969876274318,1.73094894121819,"Estimable"
"9","Pr_Neo_21","19-10123","Grain.yield...bu.ac",87.1615430118582,2.94062397542521,"Estimable"
"10","Pr_Neo_21","19-10123","Heading.time...Julian.date..JD..CO_321.0001233",125.041459140761,0.739745081173084,"Estimable"
"11","Pr_Neo_21","19-10123","Grain.test.weight...lbs.bu",56.2610853994452,0.229046927380232,"Estimable"
"12","Pr_Neo_21","19-10123","Plant.height.inches",39.4942029001172,1.22753523378645,"Estimable"
"13","Pr_Neo_21","19-10136","Grain.yield...bu.ac",86.5037469959892,2.96195909004706,"Estimable"
"14","Pr_Neo_21","19-10136","Heading.time...Julian.date..JD..CO_321.0001233",128.08393542107,0.745452698954792,"Estimable"
"15","Pr_Neo_21","19-10136","Grain.test.weight...lbs.bu",56.9737223551707,0.230612737355561,"Estimable"
"16","Pr_Neo_21","19-10136","Plant.height.inches",39.0375809799937,1.22736879352649,"Estimable"
"17","Pr_Neo_21","19-10141","Grain.yield...bu.ac",75.3190253692926,2.94348469945901,"Estimable"
"18","Pr_Neo_21","19-10141","Heading.time...Julian.date..JD..CO_321.0001233",128.967095353111,0.740687091827528,"Estimable"
"19","Pr_Neo_21","19-10141","Grain.test.weight...lbs.bu",57.4152489756515,0.229162069880382,"Estimable"
"20","Pr_Neo_21","19-10141","Plant.height.inches",38.8179081193081,1.2275269844901,"Estimable"
"21","Pr_Neo_21","19-10142","Grain.yield...bu.ac",80.2769993920742,2.94754731687172,"Estimable"
"22","Pr_Neo_21","19-10142","Heading.time...Julian.date..JD..CO_321.0001233",128.175166771007,0.741729080347406,"Estimable"
