"","name","studyName","germplasmDbId","trait","predicted.value","standard.error","upper.Confidence.limit","lower.Confidence.limit","est.status"
"1","Pio 25R74","Pr_Urb_21","100570","Grain.test.weight...lbs.bu",53.2962431198747,0.32488899011124,53.9337249645079,52.6587612752414,"Estimable"
"2","Pio 25R74","Pr_Urb_21","100570","Grain.yield...bu.ac",99.1562928846179,3.55471412593294,106.131185192811,92.1814005764246,"Estimable"
"3","Pio 25R74","Pr_Urb_21","100570","Heading.time...Julian.date..JD..",136.852848492434,0.3800982028956,137.598659249027,136.107037735841,"Estimable"
"4","Pio 25R74","Pr_Urb_21","100570","Plant.height.inches",36.2765508945154,0.911822714307824,38.0656863949102,34.4874153941206,"Estimable"
"5","19-10123","Pr_Urb_21","239200","Grain.test.weight...lbs.bu",54.8147496634066,0.328616228891925,55.459544920084,54.1699544067292,"Estimable"
"6","19-10123","Pr_Urb_21","239200","Grain.yield...bu.ac",85.8718019033948,3.60085609632396,92.937231808414,78.8063719983756,"Estimable"
"7","19-10123","Pr_Urb_21","239200","Heading.time...Julian.date..JD..",132.536358858171,0.383504465942219,133.28885322337,131.783864492972,"Estimable"
"8","19-10123","Pr_Urb_21","239200","Plant.height.inches",40.8183650579014,0.925400746418251,42.6341427321455,39.0025873836574,"Estimable"
"9","19-10136","Pr_Urb_21","239201","Grain.test.weight...lbs.bu",56.4774268650092,0.321565722034022,57.1083879498489,55.8464657801695,"Estimable"
"10","19-10136","Pr_Urb_21","239201","Grain.yield...bu.ac",76.2374313998368,3.50530553798851,83.1153765083951,69.3594862912785,"Estimable"
"11","19-10136","Pr_Urb_21","239201","Heading.time...Julian.date..JD..",134.894992254581,0.379701003071995,135.640023644424,134.149960864737,"Estimable"
"12","19-10136","Pr_Urb_21","239201","Plant.height.inches",42.2957671526381,0.910423720427634,44.0821576132608,40.5093766920154,"Estimable"
"13","19-10141","Pr_Urb_21","239202","Grain.test.weight...lbs.bu",56.5757714289356,0.322739675927078,57.2090359907045,55.9425068671667,"Estimable"
"14","19-10141","Pr_Urb_21","239202","Grain.yield...bu.ac",76.2106184837469,3.5081854367959,83.0942143938404,69.3270225736534,"Estimable"
